,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
International aviation bunkers,2009,0,0,0,0,-5205,0,0,0,0,0,0,0,0,0,-5205,0,0,-5205,0
International aviation bunkers,2010,0,0,0,0,-5507,0,0,0,0,0,0,0,0,0,-5507,0,0,-5507,0
International aviation bunkers,2011,0,0,0,0,-6167,0,0,0,0,0,0,0,0,0,-6167,0,0,-6167,0
International aviation bunkers,2012,0,0,0,0,-6468,0,0,0,0,0,0,0,0,0,-6468,0,0,-6468,0
International aviation bunkers,2013,0,0,0,0,-6553,0,0,0,0,0,0,0,0,0,-6553,0,0,-6553,0
International aviation bunkers,2014,0,0,0,0,-6405,0,0,0,0,0,0,0,0,0,-6405,0,0,-6405,0
International aviation bunkers,2015,0,0,0,0,-6458,0,0,0,0,0,0,0,0,0,-6458,0,0,-6458,0
International aviation bunkers,2016,0,0,0,0,-6753,0,0,0,0,0,0,0,0,0,-6753,0,0,-6753,0
International aviation bunkers,2017,0,0,0,0,-7070,0,0,0,0,0,0,0,0,0,-7070,0,0,-7070,0
International aviation bunkers,2018,0,0,0,0,-7270,0,0,0,0,0,0,0,0,0,-7270,0,0,-7270,0
International aviation bunkers,2019,0,0,0,0,-7144,0,0,0,0,0,0,0,0,0,-7144,0,0,-7144,0
Stock changes,1960,630,0,0,0,-652,-2,0,0,0,0,0,0,0,0,-24,0,630,-652,0
Stock changes,1961,-1746,0,0,0,-413,8,0,0,0,0,0,0,0,0,-2151,0,-1746,-413,0
Stock changes,1962,-768,0,0,0,122,0,0,0,0,0,0,0,0,0,-646,0,-768,122,0
Stock changes,1963,1746,0,0,0,-1028,0,0,0,0,0,0,0,0,0,718,0,1746,-1028,0
