TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guatemala,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Hungary,..,..,..,..,..,22,23,28,27,25,72,259,296,303,263,643,849,915,1010,1053,1059,1032,927,952,1002,1015,1025,999,967,1052,819,741,856,771,861,978,805,981,1046,835,1047,830,1053,909,1011,1520,1535,1629,1420,1352,1412,1157,1060,1023,1153,1296,1230,1517,1570,..
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
India,..,..,..,..,..,..,..,..,..,..,..,1739,1972,2321,2473,2889,3134,3157,3582,3560,3212,4656,4806,4605,4919,4968,5553,5011,5808,5199,5242,5459,5617,5874,6566,8379,8860,9124,8791,9238,12452,11151,11552,11711,13391,12246,12826,12822,12416,9850,10808,11585,12282,10910,10662,12864,12909,12939,14136,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,365,376,376,717,440,82,112,162,322,859,871,192,1,132,664,851,662,3,881,1857,3093,2401,2896,2610,2323,3451,2945,2871,2104,1384,2012,2297,2445,..
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,785,909,951,1375,1722,1298,1585,1130,1206,829,94,120,137,132,139,147,153,139,184,221,229,422,695,292,272,374,579,1891,1891,1924,2066,1879,2118,1998,2080,3548,3967,5827,6246,6357,4002,5832,6390,7724,11309,11800,13102,14245,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,70,70,34,30,27,88,91,97,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Israel,..,..,..,..,..,..,..,..,..,..,..,69,96,33,46,154,156,156,221,329,350,320,308,294,293,243,341,412,443,414,433,514,440,471,497,610,622,972,1159,1055,1176,1041,799,828,884,733,913,1152,1157,872,838,959,999,1203,1293,1243,1274,1327,1364,..
Italy,474,622,853,1146,1500,2057,4110,5112,4505,5375,4153,3907,4438,5229,4912,2972,4523,4081,3500,4217,3366,3414,2698,3636,3909,3646,3579,4216,4567,4470,4954,5112,4901,4800,5041,5473,5396,5577,4782,4415,3842,4412,4517,3997,3775,4050,4486,4704,5172,4640,5067,5512,4496,3246,4446,3459,3400,5109,4828,..
Jamaica,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Japan,652,1009,1673,2210,3770,5951,7950,9912,12653,17474,21504,23997,26388,28037,26939,21255,24503,25033,26584,27343,19475,16498,15608,14929,16666,17149,18229,19395,20324,21440,22025,21699,21675,20481,22169,24197,24983,25666,23587,26372,25508,24230,25674,27037,28675,27862,28568,28701,23851,28049,27737,26061,27006,28327,27043,29549,28247,30275,28221,..
Jordan,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,1,2,6,8,6,7,8,14,1,0,0,0,0,0,0,0,0,0,0,..
Kenya,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Korea,..,..,..,..,..,..,..,..,..,..,..,445,456,877,1066,1245,1398,1760,2056,2373,2738,2498,2410,2788,3040,3156,3570,3826,4101,4151,5946,8299,12695,14047,14916,15547,16505,20533,22644,23179,22930,23578,25875,26980,26528,28401,29718,32353,32474,34473,35913,37619,40771,41534,43826,44896,47338,49751,48954,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Kuwait,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,1521,2281,2281,2281,2281,2470,2470,2470,2470,2470,..
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Lao People's Democratic Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,..
Lebanon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Libya,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,166,161,387,312,344,484,516,441,355,679,752,881,763,871,881,995,992,1172,1133,1299,1158,1169,1159,1151,752,787,750,736,666,1546,1596,532,1105,1256,559,442,425,546,777,..
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,24,11,11,10,10,10,24,29,26,28,38,34,31,51,65,60,38,73,54,70,74,68,79,39,65,80,62,76,..
Luxembourg,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,3,2,3,3,3,2,2,3,3,3,3,3,4,4,5,4,4,4,3,3,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,..
